Area Code: 2016,censusURL_2016,censusURL_2021,sal_id,suburb,postcode,state,state_name,type,lga,statistic_area,elevation,sqkm,lat,lng,timezone,govLvl
SSC10497,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC10497,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL10495,SAL10495,Boorga,2652,NSW,New South Wales,Rural locality,Carrathool,Rest of NSW,140,253.181,-34.02099,146.01821,Australia/Sydney,state suburbs
SSC11499,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11499,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL11502,SAL11502,Federal,2480,NSW,New South Wales,Rural locality,Byron,Rest of NSW,210,27.588,-28.65916,153.45262,Australia/Sydney,state suburbs
SSC31036,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31036,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL31025,SAL31025,Federal,4568,QLD,Queensland,Rural locality,Noosa,Rest of QLD,127,26.458,-26.39162,152.80933,Australia/Brisbane,state suburbs
SSC31041,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31041,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL31030,SAL31030,Fernvale,4306,QLD,Queensland,Urban locality,Somerset,Greater Brisbane,85,27.772,-27.4562,152.66878,Australia/Brisbane,state suburbs
SSC11511,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11511,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL11514,SAL11514,Fernvale,2484,NSW,New South Wales,Rural locality,Tweed,Rest of NSW,37,12.95,-28.36536,153.42214,Australia/Sydney,state suburbs
SSC60199,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC60199,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL60200,SAL60200,Fingal,7214,TAS,Tasmania,Urban locality,Break O'Day,Rest of TAS,266,429.847,-41.65708,147.92074,Australia/Hobart,state suburbs
SSC20914,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC20914,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL20920,SAL20920,Fingal,3939,VIC,Victoria,Rural locality,Mornington Peninsula,Greater Melbourne,13,18.17,-38.41964,144.8569,Australia/Melbourne,state suburbs
SSC10216,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC10216,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL10217,SAL10217,Barrington,2422,NSW,New South Wales,Rural locality,Mid-Coast,Rest of NSW,114,63.009,-31.99787,151.90099,Australia/Sydney,state suburbs
SSC31052,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31052,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL31041,SAL31041,Fisher,4825,QLD,Queensland,Urban locality,Mount Isa,Rest of QLD,386,23.02,-20.74387,139.53318,Australia/Brisbane,state suburbs
SSC60200,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC60200,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL60201,SAL60201,Fitzgerald,7140,TAS,Tasmania,Rural locality,Derwent Valley,Rest of TAS,563,8.208,-42.75453,146.6599,Australia/Hobart,state suburbs
SSC50504,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC50504,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL50506,SAL50506,Fitzgerald,6337,WA,Western Australia,Rural locality,Ravensthorpe,Rest of WA,308,2.873,-33.74839,119.4563,Australia/Perth,state suburbs
SSC20926,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC20926,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL20932,SAL20932,Flowerdale,3658,VIC,Victoria,Urban locality,Murrindindi,Rest of VIC,400,150.87,-37.32971,145.30613,Australia/Melbourne,state suburbs
SSC60203,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC60203,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL60204,SAL60204,Flowerdale,7325,TAS,Tasmania,Rural locality,Waratah/Wynyard,Rest of TAS,16,15.919,-40.97011,145.66045,Australia/Hobart,state suburbs
SSC70103,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC70103,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL70103,SAL70103,Flying Fox,852,NT,Northern Territory,Rural locality,Roper Gulf,Rest of NT,122,17516.186,-13.98895,134.1212,Australia/Darwin,state suburbs
SSC31068,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31068,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL31058,SAL31058,Flying Fox,4275,QLD,Queensland,Rural locality,Scenic Rim,Rest of QLD,278,8.649,-28.10185,153.17067,Australia/Brisbane,state suburbs
SSC70104,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC70104,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL70104,SAL70104,Flynn,875,NT,Northern Territory,Rural locality,Alice Springs,Rest of NT,610,14.515,-23.71209,133.83902,Australia/Darwin,state suburbs
SSC20927,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC20927,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL20933,SAL20933,Flynn,3844,VIC,Victoria,Rural locality,Latrobe,Rest of VIC,61,102.356,-38.19686,146.67805,Australia/Melbourne,state suburbs
SSC50509,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC50509,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL50511,SAL50511,Flynn,6302,WA,Western Australia,Rural locality,York,Rest of WA,281,426.465,-32.04619,116.48625,Australia/Perth,state suburbs
SSC11536,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11536,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL11539,SAL11539,Forbes,2871,NSW,New South Wales,Urban locality,Forbes,Rest of NSW,241,1082.123,-33.38993,148.02223,Australia/Sydney,state suburbs
SSC20930,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC20930,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL20936,SAL20936,Forbes,3764,VIC,Victoria,Rural locality,Mitchell,Rest of VIC,370,34.744,-37.31432,144.88899,Australia/Melbourne,state suburbs
SSC11542,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11542,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL11545,SAL11545,Forest Glen,2157,NSW,New South Wales,Rural locality,Hornsby,Greater Sydney,101,5.603,-33.54516,151.02823,Australia/Sydney,state suburbs
SSC31072,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31072,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL31062,SAL31062,Forest Glen,4556,QLD,Queensland,Rural locality,Sunshine Coast,Rest of QLD,16,6.59,-26.67693,153.01557,Australia/Brisbane,state suburbs
SSC50513,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC50513,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL50515,SAL50515,Forrest Beach,6271,WA,Western Australia,Rural locality,Capel,Rest of WA,4,17.513,-33.5682,115.48404,Australia/Perth,state suburbs
SSC31082,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31082,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL31072,SAL31072,Forrest Beach,4850,QLD,Queensland,Urban locality,Hinchinbrook,Rest of QLD,4,45.462,-18.71617,146.27201,Australia/Brisbane,state suburbs
SSC40450,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC40450,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL40455,SAL40455,Forster,5238,SA,South Australia,Rural locality,Mid Murray,Rest of SA,51,11.222,-34.73258,139.55958,Australia/Adelaide,state suburbs
SSC10217,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC10217,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL10218,SAL10218,Barrington Tops,2422,NSW,New South Wales,Rural locality,Mid-Coast,Rest of NSW,1259,305.978,-31.96215,151.52978,Australia/Sydney,state suburbs
SSC60212,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC60212,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL60213,SAL60213,Four Mile Creek,7215,TAS,Tasmania,Rural locality,Break O'Day,Rest of TAS,55,30.423,-41.57799,148.27843,Australia/Hobart,state suburbs
SSC11556,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11556,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL11559,SAL11559,Four Mile Creek,2800,NSW,New South Wales,Rural locality,Cabonne,Rest of NSW,754,29.266,-33.42697,148.94203,Australia/Sydney,state suburbs
SSC31100,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31100,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL31090,SAL31090,Fulham,4313,QLD,Queensland,Rural locality,Somerset,Greater Brisbane,133,46.827,-27.03358,152.47691,Australia/Brisbane,state suburbs
SSC20949,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC20949,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL20956,SAL20956,Fulham,3851,VIC,Victoria,Rural locality,Wellington,Rest of VIC,15,54.563,-38.08259,146.96751,Australia/Melbourne,state suburbs
SSC31110,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31110,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL20966,SAL20966,Garfield,4728,QLD,Queensland,Rural locality,Barcaldine,Rest of QLD,332,2847.803,-23.26965,145.94786,Australia/Brisbane,state suburbs
SSC60220,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC60220,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL60222,SAL60222,Gawler,7315,TAS,Tasmania,Urban locality,Central Coast,Rest of TAS,135,38.652,-41.22193,146.13905,Australia/Hobart,state suburbs
SSC40469,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC40469,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL40474,SAL40474,Gawler,5118,SA,South Australia,Urban locality,Gawler,Greater Adelaide,54,1.063,-34.59858,138.74378,Australia/Adelaide,state suburbs
SSC11600,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11600,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL11604,SAL11604,Georges Creek,2365,NSW,New South Wales,Rural locality,Armidale Regional,Rest of NSW,706,183.752,-30.16061,151.20954,Australia/Sydney,state suburbs
SSC20975,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC20975,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL20982,SAL20982,Georges Creek,3700,VIC,Victoria,Rural locality,Towong,Rest of VIC,307,48.649,-36.1533,147.25756,Australia/Melbourne,state suburbs
SSC20980,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC20980,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL20987,SAL20987,Germantown,3741,VIC,Victoria,Rural locality,Alpine,Rest of VIC,614,27.907,-36.73917,147.07821,Australia/Melbourne,state suburbs
SSC31125,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31125,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL31113,SAL31113,Germantown,4871,QLD,Queensland,Rural locality,Cassowary Coast,Rest of QLD,63,6.274,-17.64242,145.96744,Australia/Brisbane,state suburbs
SSC31136,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31136,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL31124,SAL31124,Gin Gin,4671,QLD,Queensland,Urban locality,Bundaberg,Rest of QLD,66,33.812,-24.97698,151.95235,Australia/Brisbane,state suburbs
SSC11627,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11627,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL11631,SAL11631,Gin Gin,2823,NSW,New South Wales,Rural locality,Narromine,Rest of NSW,212,567.176,-31.9112,148.07005,Australia/Sydney,state suburbs
SSC70110,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC70110,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL70110,SAL70110,Girraween,836,NT,Northern Territory,Rural locality,Litchfield,Greater Darwin,29,23.597,-12.52561,131.09629,Australia/Darwin,state suburbs
SSC31140,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31140,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL31128,SAL31128,Girraween,4382,QLD,Queensland,Rural locality,Southern Downs,Rest of QLD,1065,117.789,-28.85777,151.95419,Australia/Brisbane,state suburbs
SSC60224,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC60224,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL60226,SAL60226,Gladstone,7264,TAS,Tasmania,Rural locality,Break O'Day,Rest of TAS,138,327.981,-41.02618,148.06254,Australia/Hobart,state suburbs
SSC11639,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11639,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL11643,SAL11643,Gladstone,2440,NSW,New South Wales,Urban locality,Kempsey,Rest of NSW,1,6.621,-31.01891,152.96187,Australia/Sydney,state suburbs
SSC40492,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC40492,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL40497,SAL40497,Gladstone,5473,SA,South Australia,Urban locality,Northern Areas,Rest of SA,228,204.764,-33.28252,138.3547,Australia/Adelaide,state suburbs
SSC11657,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11657,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL11661,SAL11661,Glencoe,2365,NSW,New South Wales,Rural locality,Glen Innes Severn,Rest of NSW,1168,155.546,-29.93231,151.71024,Australia/Sydney,state suburbs
SSC31167,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31167,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL31155,SAL31155,Glencoe,4352,QLD,Queensland,Rural locality,Toowoomba,Rest of QLD,523,18.962,-27.46297,151.86746,Australia/Brisbane,state suburbs
SSC10831,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC10831,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL10830,SAL10830,Carrington Falls,2577,NSW,New South Wales,Rural locality,Kiama,Rest of NSW,559,14.589,-34.64194,150.64038,Australia/Sydney,state suburbs
SSC50553,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC50553,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL50555,SAL50555,Glencoe,6316,WA,Western Australia,Rural locality,Woodanilling,Rest of WA,337,96.651,-33.48003,117.61938,Australia/Perth,state suburbs
SSC60229,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC60229,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL60231,SAL60231,Glenfern,7140,TAS,Tasmania,Rural locality,Derwent Valley,Rest of TAS,440,41.557,-42.81579,146.9971,Australia/Hobart,state suburbs
SSC31172,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31172,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL31160,SAL31160,Glenfern,4515,QLD,Queensland,Rural locality,Somerset,Greater Brisbane,101,14.094,-26.95896,152.60069,Australia/Brisbane,state suburbs
SSC21018,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC21018,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL21025,SAL21025,Glengarry,3854,VIC,Victoria,Urban locality,Latrobe,Rest of VIC,37,97.663,-38.12369,146.63821,Australia/Melbourne,state suburbs
SSC60230,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC60230,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL60232,SAL60232,Glengarry,7275,TAS,Tasmania,Rural locality,West Tamar,Rest of TAS,146,48.816,-41.34751,146.87457,Australia/Hobart,state suburbs
SSC21025,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC21025,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL21032,SAL21032,Glenlee,3418,VIC,Victoria,Rural locality,Hindmarsh,Rest of VIC,131,156.218,-36.23208,141.84192,Australia/Melbourne,state suburbs
SSC31175,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31175,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL31163,SAL31163,Glenlee,4711,QLD,Queensland,Rural locality,Livingstone,Rest of QLD,28,41.929,-23.28921,150.47012,Australia/Brisbane,state suburbs
SSC21031,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC21031,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL21038,SAL21038,Glenlyon,3461,VIC,Victoria,Rural locality,Hepburn,Rest of VIC,473,75.805,-37.26844,144.24577,Australia/Melbourne,state suburbs
SSC31177,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31177,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL31166,SAL31166,Glenlyon,4380,QLD,Queensland,Rural locality,Southern Downs,Rest of QLD,410,351.44,-28.91917,151.45202,Australia/Brisbane,state suburbs
SSC21033,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC21033,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL21040,SAL21040,Glenmore,3340,VIC,Victoria,Rural locality,Moorabool,Rest of VIC,253,45.401,-37.71505,144.30389,Australia/Melbourne,state suburbs
SSC11669,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11669,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL11673,SAL11673,Glenmore,2570,NSW,New South Wales,Rural locality,Wollondilly,Greater Sydney,236,6.696,-34.0741,150.60271,Australia/Sydney,state suburbs
SSC31180,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31180,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL31169,SAL31169,Glenorchy,4650,QLD,Queensland,Rural locality,Fraser Coast,Rest of QLD,38,12.163,-25.62039,152.64077,Australia/Brisbane,state suburbs
SSC21034,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC21034,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL21041,SAL21041,Glenorchy,3385,VIC,Victoria,Rural locality,Northern Grampians,Rest of VIC,175,176.324,-36.92078,142.63648,Australia/Melbourne,state suburbs
SSC11678,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11678,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL11682,SAL11682,Glenroy,2640,NSW,New South Wales,Urban locality,Albury,Rest of NSW,256,8.058,-36.05258,146.89876,Australia/Sydney,state suburbs
SSC31184,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31184,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL31173,SAL31173,Glenroy,4702,QLD,Queensland,Rural locality,Rockhampton,Rest of QLD,123,878.834,-23.18485,149.81614,Australia/Brisbane,state suburbs
SSC40505,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC40505,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL40510,SAL40510,Glenroy,5277,SA,South Australia,Rural locality,Wattle Range,Rest of SA,57,143.107,-37.21738,140.76547,Australia/Adelaide,state suburbs
SSC31190,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31190,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL31179,SAL31179,Golden Beach,4551,QLD,Queensland,Major Urban locality,Sunshine Coast,Rest of QLD,4,2.819,-26.82105,153.11632,Australia/Brisbane,state suburbs
SSC21047,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC21047,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL21054,SAL21054,Golden Beach,3851,VIC,Victoria,Rural locality,Wellington,Rest of VIC,2,19.422,-38.22985,147.36615,Australia/Melbourne,state suburbs
SSC21049,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC21049,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL21056,SAL21056,Golden Point,3350,VIC,Victoria,Urban locality,Ballarat,Rest of VIC,459,1.849,-37.57458,143.86339,Australia/Melbourne,state suburbs
SSC31193,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31193,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL31182,SAL31182,Goldsborough,4865,QLD,Queensland,Rural locality,Cairns,Rest of QLD,266,65.826,-17.19053,145.74896,Australia/Brisbane,state suburbs
SSC21053,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC21053,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL21060,SAL21060,Goldsborough,3472,VIC,Victoria,Rural locality,Central Goldfields,Rest of VIC,254,27.604,-36.82014,143.65803,Australia/Melbourne,state suburbs
SSC60237,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC60237,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL60239,SAL60239,Gordon,7150,TAS,Tasmania,Rural locality,Kingborough,Rest of TAS,275,19.32,-43.26633,147.20672,Australia/Hobart,state suburbs
SSC21066,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC21066,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL21073,SAL21073,Gordon,3345,VIC,Victoria,Urban locality,Moorabool,Rest of VIC,620,46.106,-37.57075,144.10719,Australia/Melbourne,state suburbs
SSC11730,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11730,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL11736,SAL11736,Gowrie,2340,NSW,New South Wales,Rural locality,Liverpool Plains,Rest of NSW,793,126.909,-31.36021,150.8032,Australia/Sydney,state suburbs
SSC31240,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31240,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL31228,SAL31228,Granville,4650,QLD,Queensland,Urban locality,Fraser Coast,Rest of QLD,16,11.812,-25.54,152.73014,Australia/Brisbane,state suburbs
SSC50574,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC50574,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL50576,SAL50576,Granville,6503,WA,Western Australia,Rural locality,Gingin,Rest of WA,72,43.77,-31.31302,115.85053,Australia/Perth,state suburbs
SSC21083,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC21083,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL21091,SAL21091,Grassdale,3302,VIC,Victoria,Rural locality,Glenelg,Rest of VIC,124,144.836,-37.82017,141.64128,Australia/Melbourne,state suburbs
SSC31242,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31242,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL31230,SAL31230,Grassdale,4405,QLD,Queensland,Rural locality,Toowoomba,Rest of QLD,353,73.553,-27.41712,151.13891,Australia/Brisbane,state suburbs
SSC11749,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11749,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL11756,SAL11756,Green Gully,2850,NSW,New South Wales,Rural locality,Mid-Western Regional,Rest of NSW,868,24.343,-32.79747,149.68104,Australia/Sydney,state suburbs
SSC21092,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC21092,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL21100,SAL21100,Green Gully,3462,VIC,Victoria,Rural locality,Mount Alexander,Rest of VIC,247,7.072,-37.11335,144.09617,Australia/Melbourne,state suburbs
SSC11750,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11750,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL11769,SAL11769,Green Hills,2365,NSW,New South Wales,Rural locality,Armidale Regional,Rest of NSW,1292,45.546,-30.26488,151.78422,Australia/Sydney,state suburbs
SSC11758,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11758,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL11765,SAL11765,Greendale,2550,NSW,New South Wales,Rural locality,Bega Valley,Rest of NSW,124,36.111,-36.58179,149.86683,Australia/Sydney,state suburbs
SSC21093,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC21093,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL21101,SAL21101,Greendale,3341,VIC,Victoria,Rural locality,Moorabool,Rest of VIC,602,52.345,-37.53556,144.31789,Australia/Melbourne,state suburbs
SSC40529,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC40529,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL40535,SAL40535,Greenhill,5140,SA,South Australia,Major Urban locality,Adelaide Hills,Greater Adelaide,461,3.717,-34.94936,138.69492,Australia/Adelaide,state suburbs
SSC21094,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC21094,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL21102,SAL21102,Greenhill,3444,VIC,Victoria,Rural locality,Macedon Ranges,Rest of VIC,467,10.627,-37.17403,144.44947,Australia/Melbourne,state suburbs
SSC11765,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11765,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL11771,SAL11771,Greenlands,2330,NSW,New South Wales,Rural locality,Singleton,Rest of NSW,161,64.485,-32.36202,151.16355,Australia/Sydney,state suburbs
SSC31250,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31250,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL31238,SAL31238,Greenlands,4380,QLD,Queensland,Rural locality,Southern Downs,Rest of QLD,828,61.007,-28.65321,151.78644,Australia/Brisbane,state suburbs
SSC31251,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31251,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL31240,SAL31240,Greenmount,4751,QLD,Queensland,Rural locality,Mackay,Rest of QLD,50,17.506,-21.18482,149.03156,Australia/Brisbane,state suburbs
SSC50583,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC50583,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL50585,SAL50585,Greenmount,6056,WA,Western Australia,Major Urban locality,Mundaring,Greater Perth,144,4.816,-31.90496,116.05547,Australia/Perth,state suburbs
SSC11858,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11858,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL11865,SAL11865,Harrington,2427,NSW,New South Wales,Urban locality,Mid-Coast,Rest of NSW,4,32.946,-31.8568,152.67618,Australia/Sydney,state suburbs
SSC21095,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC21095,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL21103,SAL21103,Greens Creek,3387,VIC,Victoria,Rural locality,Northern Grampians,Rest of VIC,219,197.704,-36.92619,142.93896,Australia/Melbourne,state suburbs
SSC31261,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31261,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL31249,SAL31249,Gregory,4830,QLD,Queensland,Rural locality,Burke,Rest of QLD,65,10538.388,-18.52867,139.33122,Australia/Brisbane,state suburbs
SSC50587,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC50587,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL50589,SAL50589,Gregory,6535,WA,Western Australia,Rural locality,Northampton,Rest of WA,6,0.115,-28.18834,114.25101,Australia/Perth,state suburbs
SSC31262,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31262,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL31251,SAL31251,Gregory River,4660,QLD,Queensland,Rural locality,Bundaberg,Rest of QLD,75,39.062,-25.10288,152.20583,Australia/Brisbane,state suburbs
SSC10242,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC10242,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL10242,SAL10242,Beaumont,2577,NSW,New South Wales,Rural locality,Shoalhaven,Rest of NSW,291,17.057,-34.7792,150.58217,Australia/Sydney,state suburbs
