suburb,state,type,lga,num_page_by_lga,policy_names_by_lga
Upper Rouchel,NSW,Rural locality,Upper Hunter Shire,53,"['Climate Change Strategy', 'Sustainability Action Plan']"
Cable Beach,WA,Urban locality,Broome,325,['Broome Townsite Coastal Hazard Risk Management and Adaptation Plan CHRMAP']
Albury,NSW,Urban locality,Albury,174,"['Annual-Report-2021-2022-Final', 'Social-and-Sustainable-Procurement-Policy-Final', 'Climate-Change-Adaptation-Strategy-and-Risk-Assessment', 'Carbon-Compliance-Strategy']"
Caboolture South,QLD,Major Urban locality,Moreton Bay,88,"['environment-and-sustainability-strategy', 'the-coporate-plan-2022-27-our-healthy-environments', 'climate-change-policy']"
Utungun,NSW,Rural locality,Nambucca,3,['Policy de14 - climate - change -10100-2018']
Cabramurra,NSW,Rural locality,Snowy Valleys,126,"['2023-24-delivery-program-and-operational-plan', 'zero-waste-strategy-2019-2030-svc-eng-pln-015-01-adopted-24102019']"
Cadarga,QLD,Rural locality,Western Downs,49,['final-wdrc-annual-report-2021-22NCCP']
Cadell,SA,Rural locality,Mid Murray,419,['Council Agenda and Attachments 19-September-2023 - Public v2']
Cadello,VIC,Rural locality,Macedon Ranges,381,"['Counting-Down-To-Zero-Zero-Net-Emissions-for-Council-Operations-Plan', 'Macedon-Mt-Macedon-Cool-Changes-Plan', 'ConversationCards', 'Factsheet-MentalHealth', 'Factsheet-PhysicalHealth', 'Biodiversity-Strategy-Final-December-2018', 'Sustainable-Buildings-Policy', 'Single-Use-Plastics-Policy-2023', 'Township-Street-Park-Tree-Management-Policy-2022', 'Environment-Strategy-2021', 'Climate-Change-Action-Plan']"
Cadia,NSW,Rural locality,Cabonne,74,['Cabonne Recovery Plan']
Cadoux,WA,Rural locality,Wongan-Ballidu,338,['SOWB-PolicyManual-NCCP']
Caffreys Flat,NSW,Rural locality,Mid-Coast,201,"['Climate Change Policy 1', 'Climate Action Strategy Final Report -v8']"
Valery,NSW,Rural locality,Bellingen,35,"['Climate Emergency Response Framework', 'Bellingen Shire Community Climate Action Plan 2022']"
Cainbable,QLD,Rural locality,Scenic Rim,71,"['CLIMATE-CHANGE-STATEMENT-OF-INTENT', 'Scenic-Rim-Biodiversity-Strategy', 'Community-Plan-2011-2016-CCS-Agenda-18-Sept-2018']"
Cairdbeign,QLD,Rural locality,Central Highlands,93,['Annual-Report-2021-2022-NCCP']
Cairncross,NSW,Rural locality,Port Macquarie-Hastings,130,"['Climate Change Response Policy 08-12-2022', '2019-2030 Biodiversity Management Strategy']"
Cairns City,QLD,Major Urban locality,Cairns,6,"['v4-Corporate-Sustainability-General-Policy', 'Youth Climate Summit 2019-Outcomes']"
Cairns North,QLD,Major Urban locality,Cairns,6,"['v4-Corporate-Sustainability-General-Policy', 'Youth Climate Summit 2019-Outcomes']"
Calala,NSW,Urban locality,Tamworth Regional,60,['Environmental Sustainability Strategy 2022 - 2026 ']
Calamia,NSW,Rural locality,Clarence Valley,193,"['Climate Change Policy V4', '100 Renewables Report', 'Clarence Valley Community Energy and Emissions Reduction Strategy July 2021']"
Calavos,QLD,Rural locality,Bundaberg,45,"['ECO-Certification-Incentive-Scheme-Policy', 'Towards-Net-Zero-Bundaberg-and-FAQ', 'Towards-Net-Zero-Bundaberg-Policy-V1.1', 'Sustainable-Bundaberg-2030-Strategy']"
Valla,NSW,Rural locality,Bellingen,35,"['Climate Emergency Response Framework', 'Bellingen Shire Community Climate Action Plan 2022']"
Calcium,QLD,Rural locality,Townsville,69,"['Environmental-Policy-1', 'Survey-Summary-Report', 'Townsville-2021-2026-Corporate-Plan']"
Calder,TAS,Rural locality,Waratah/Wynyard,87,"['Waratah-Wynyard-Intergrated-Council-Environmental-Plan-iCEP-Aug-2020', 'Environmental-Sustainability-Policy']"
Caldermeade,VIC,Rural locality,Cardinia,436,"['Sustainable-Environment-Policy-2018-28', 'Biodiversity-Conservation-Strategy-2019-29', 'Climate-Change-Adaptation-Strategy-2022-2023', 'Cardinia-Shire-Biolink-Plan-2023-33', 'Aspirational-Energy-Transition-Plan-2014-24', 'Council-Enhanced-Standard-Sustainable-Buildings-2020-to-2026', 'Waste-and-Resource-Recovery-Strategy-2017-2026', 'Integrated-Water-Management-Plan', 'Climate-Change-Adaptation-Strategy-Action-plan']"
Caldervale,QLD,Rural locality,Blackall-Tambo,277,['MPC Policies and Procedures NCCP']
Valla Beach,NSW,Rural locality,Nambucca,3,['Policy de14 - climate - change -10100-2018']
Calen,QLD,Rural locality,Mackay,55,"['Climate-Change-Policy-089', 'Environmental-Sustainability-Strategy-PartsA,BandC', 'Environmental-Sustainability-Strategy-PartD-Action-Plan']"
Verges Creek,NSW,Rural locality,Kempsey,21,['Kempsey Sustainability Resilience Strategy-2022']
Calico Creek,QLD,Rural locality,Gympie,47,"['Climate Change Policy   ', 'Biodiveristy Position Paper', 'Environment Strategy 2018']"
Califat,NSW,Rural locality,Snowy Valleys,126,"['2023-24-delivery-program-and-operational-plan', 'zero-waste-strategy-2019-2030-svc-eng-pln-015-01-adopted-24102019']"
California Gully,VIC,Urban locality,Greater Bendigo,325,"['City-Greater-Bendigo-Climate-Change-Environment-Strategy-2021-2026', 'City-Greater-Bendigo-Summary-Climate-Change-Environment-Strategy-2021-2026', 'Greater-Bendigo-2030-Zero-Emissions-Roadmap', 'City-Greater-Bendigo-Biodiversity-Strategy-and-Action-Plan-2023-2033', 'City-of-Greater-Bendigo-Zero-Emissions-Plan-Council-Operations', 'City-Greater-Bendigo-Annual-Environment-Report-2021-2022', 'City-Greater-Bendigo-Building-Resilience-Making-Homes-Climate-Ready']"
Wakool,NSW,Rural locality,Murray River,4,['How Adapting to a Changing Climate Builds Social Capital']
Calingiri,WA,Rural locality,Victoria Plains,72,['Council Policy Manual 2022 - NCCP']
Walbundrie,NSW,Rural locality,Greater Hume Shire,26,['Community Strategic Plan 2032 NCCP']
Caliph,SA,Rural locality,Loxton Waikerie,235,"['Greening Loxton Strategy Loxton Recreation Grounds Committee', 'Ordinary Council Meeting Agenda 19July2023']"
Walla Walla,NSW,Rural locality,Greater Hume Shire,26,['Community Strategic Plan 2032 NCCP']
Callaghans Creek,NSW,Rural locality,Mid-Coast,201,"['Climate Change Policy 1', 'Climate Action Strategy Final Report -v8']"
Callala Bay,NSW,Urban locality,Shoalhaven,5,['Sustainability and Climate Policy']
Wallangra,NSW,Rural locality,Inverell,12,['ISC Environmental Sustainability Plan']
Wallarah,NSW,Rural locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
Wandandian,NSW,Rural locality,Shoalhaven,5,['Sustainability and Climate Policy']
Callcup,WA,Rural locality,Manjimup,50,['Environmental Management and Sustainability Strategy 2013']
Callemondah,QLD,Urban locality,Gladstone,41,"['Council tackles climate change at local level Media Release', 'Biodiversity Conservation Strategic Plan 2016-2025', 'Environment Policy']"
Wandera,NSW,Rural locality,Inverell,12,['ISC Environmental Sustainability Plan']
Callignee South,VIC,Rural locality,Wellington,73,"['4.1.10 CLIMATE-CHANGE-AND-SUSTAINABILITY-POLICY', 'WSC-Sustainability Annual Report 2020-21', 'Sustainability-Strategy']"
Callington,SA,Urban locality,Mount Barker,49,"['Mount-Barker-District-Climate-Change-Action-Plan-2019', 'MBDC-Environment-Strategy-2018']"
Wantabadgery,NSW,Rural locality,Junee,18,['Firewood-Policy-and-Guidelines']
Caloote,SA,Rural locality,Mid Murray,419,['Council Agenda and Attachments 19-September-2023 - Public v2']
Sapphire Beach,NSW,Urban locality,Coffs Harbour,212,"['renewable-energy-and-emissions-reduction-plan', 'BAS-november-2015', 'climate-change-policy', 'sustainability-policy']"
Calrossie,VIC,Rural locality,Wellington,73,"['4.1.10 CLIMATE-CHANGE-AND-SUSTAINABILITY-POLICY', 'WSC-Sustainability Annual Report 2020-21', 'Sustainability-Strategy']"
Wantagong,NSW,Rural locality,Greater Hume Shire,26,['Community Strategic Plan 2032 NCCP']
Calulu,VIC,Rural locality,East Gippsland,83,"['Environmental Sustainbility Strategy', 'Environmental Sustainability Action Plan - 2022-26']"
Cambalong,NSW,Rural locality,Snowy Monaro Regional,104,['annual-report-2021-2022NCCP']
Cambarville,VIC,Rural locality,Yarra Ranges,297,"['Liveable-Climate-Plan-2020-2030', 'Liveable-Climate-Action-Plan', 'Yarra-Ranges-Council-Sustainability-Report-2021', 'Yarra-Ranges-Council-Sustainability-Report-2022-1', 'Health-and-Wellbeing-Plan-Action-Plan', 'Yarra-Ranges-Council-Asset-Management-Policy-2022-2032', 'Yarra-Ranges-EDS-Economic-Development-Strategy', 'Yarra-Ranges-Domestic-Animal-Management-Plan', 'Environment-Strategy', 'Health-and-Wellbeing-Plan']"
Wantiool,NSW,Rural locality,Junee,18,['Firewood-Policy-and-Guidelines']
Cambooya,QLD,Urban locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
Cambra,NSW,Rural locality,Dungog,318,['Council Meeting Document 2023']
Cambrai,SA,Rural locality,Mid Murray,419,['Council Agenda and Attachments 19-September-2023 - Public v2']
Cambrian Hill,VIC,Rural locality,Golden Plains,124,"['Climate Emergency Plan 2022-2032', 'MHWAPlan-2021', 'GPS Council Plan 21-25']"
Cambridge Gulf,WA,Rural locality,Wyndham-East Kimberley,77,"['Strategic-Community-Plan-2023-2033', 'Economic-Development-Plan-2021']"
Cambridge Plateau,NSW,Rural locality,Kyogle,43,['Sustainable Councils Communities Action Plan_Kyogle Council Adopted-June-2019']
Cambroon,QLD,Rural locality,Sunshine Coast,367,"['Sunshine-Coast-Council-And-Climate-Change-Factsheet', 'Zero-net-Emissions-Plan-2022', 'Environment-and-Liveability-Strategy-2017-Part-A', 'Environment-and-Liveability-Strategy-2017-Part-B', 'Environment-and-Liveability-Strategy-2017-Part-C', 'Coastal-Management-Policy']"
Camden Head,NSW,Urban locality,Port Macquarie-Hastings,130,"['Climate Change Response Policy 08-12-2022', '2019-2030 Biodiversity Management Strategy']"
Camden Park,NSW,Major Urban locality,Wollondilly,53,['Wollondilly-2033-DeliveryProgram-3-Revised']
Cameby,QLD,Rural locality,Western Downs,49,['final-wdrc-annual-report-2021-22NCCP']
Elands,NSW,Rural locality,Mid-Coast,201,"['Climate Change Policy 1', 'Climate Action Strategy Final Report -v8']"
Cameron Corner,QLD,Rural locality,Bulloo,102,['Annual Report 2021-22 NCCP']
Warkworth,NSW,Rural locality,Singleton,8,['Singleton Sustainability Strategy 2019 - 2027']
Elland,NSW,Rural locality,Clarence Valley,193,"['Climate Change Policy V4', '100 Renewables Report', 'Clarence Valley Community Energy and Emissions Reduction Strategy July 2021']"
Seelands,NSW,Rural locality,Clarence Valley,193,"['Climate Change Policy V4', '100 Renewables Report', 'Clarence Valley Community Energy and Emissions Reduction Strategy July 2021']"
Hannam Vale,NSW,Rural locality,Mid-Coast,201,"['Climate Change Policy 1', 'Climate Action Strategy Final Report -v8']"
Campaspe,QLD,Rural locality,Charters Towers,100,['2021-2022-Annual-Report-NCCP']
Campbell Town,TAS,Urban locality,Northern Midlands,6,"['Northern Midlands Council Strategic Plan - 2021', 'Asset Management Policy']"
Watersleigh,NSW,Rural locality,Shoalhaven,5,['Sustainability and Climate Policy']
Campbells Creek,VIC,Urban locality,Mount Alexander,374,"['roadmap-to-carbon-neutrality-2020', 'residents-and-ratepayers-aug-2020-Climate-Change-Forum_Submissions', 'business-and-organisations-dec-2019-Climate-Change-Forum-Submissions', 'climate-change-strategy', 'environment-strategy-2015-2025', 'climate-change-strategy-action-plan-2023-2024', 'municipal-health-wellbeing-plan-2021-2025-october-2021', 'Community-Climate-Transition-Plan-230220']"
Campbells Pocket,QLD,Rural locality,Moreton Bay,88,"['environment-and-sustainability-strategy', 'the-coporate-plan-2022-27-our-healthy-environments', 'climate-change-policy']"
Campbelltown,VIC,Rural locality,Central Goldfields,111,"['Central Goldfields Climate Action Plan 2022-2030', 'Climate Conversation Report Oct 2022', 'CGSC Climate Action Plan Report v B.0', 'Central Goldfields Shire Climate Action Plans Summary Factsheet']"
Wattamolla,NSW,Rural locality,Shoalhaven,5,['Sustainability and Climate Policy']
Wattamondara,NSW,Rural locality,Cowra,37,['Cowra Local Strategic Planning Policy 2020']
Campwin Beach,QLD,Urban locality,Mackay,55,"['Climate-Change-Policy-089', 'Environmental-Sustainability-Strategy-PartsA,BandC', 'Environmental-Sustainability-Strategy-PartD-Action-Plan']"
Canadian,VIC,Urban locality,Ballarat,71,"['Carbon-Neutrality-&-100pc-Renewables-Action-Plan', 'City of Ballarat Net Zero Emissions Plan', 'City of Ballarat Biodiversity Vision and Commitment']"
Canadian Lead,NSW,Rural locality,Mid-Western Regional,92,['2022 Annual Report - NCCP']
Canaga,QLD,Rural locality,Western Downs,49,['final-wdrc-annual-report-2021-22NCCP']
Wattle Ponds,NSW,Rural locality,Singleton,8,['Singleton Sustainability Strategy 2019 - 2027']
Canbelego,NSW,Rural locality,Bogan,161,['Bogan Shire Council Annual Report 2021-2022 NCCP']
Cancanning,WA,Rural locality,Wagin,253,['Policy Manual Updated - NCCP']
Candelo,NSW,Urban locality,Bega Valley,204,"['Climate Change Risk Assessment Adaptation Report 2010', 'Bega Valley Shire Climate Resilience Strategy 2025']"
Waugorah,NSW,Rural locality,Murray River,4,['How Adapting to a Changing Climate Builds Social Capital']
Cangai,NSW,Rural locality,Clarence Valley,193,"['Climate Change Policy V4', '100 Renewables Report', 'Clarence Valley Community Energy and Emissions Reduction Strategy July 2021']"
Caniaba,NSW,Rural locality,Lismore,334,"['Declaration-of-Climate-Change', 'climate-resilience-policy-adopted-by-council-9-february-2021', 'renewable-energy-master-plan', 'nimbin-community-disaster-plan-final-april-2021', 'the-channon-surrounds-disaster-resilience-plan-final-april-2021', 'biodiversity-management-strategy-2015-2035-revised-2nd-edition']"
Caniambo,VIC,Rural locality,Greater Shepparton,204,"['GSCC-Climate-Adaptation-Plan', 'Urban-Forest-Strategy-v5b', 'GSCC-Winter-Climate-Adaptation-Plan-Brochure', 'Final Greater Shepparton City Council 2030 Zero Emissions Plan December 2021', 'Greater Shepparton Energy Reduction Plan 2016']"
Canina,QLD,Rural locality,Gympie,47,"['Climate Change Policy   ', 'Biodiveristy Position Paper', 'Environment Strategy 2018']"
Cann River,VIC,Rural locality,East Gippsland,83,"['Environmental Sustainbility Strategy', 'Environmental Sustainability Action Plan - 2022-26']"
Canna,WA,Rural locality,Morawa,252,['Shire of Morawa Policy Manual NCCP']
Cannawigara,SA,Rural locality,Tatiara,146,['Final-Tatiara-Coorong-LAP-080312-2']
Cannie,VIC,Rural locality,Gannawarra,49,"['Climate Change Policy - 146', 'Climate Change Strategy']"
Way Way,NSW,Rural locality,Nambucca,3,['Policy de14 - climate - change -10100-2018']
Canningvale,QLD,Rural locality,Southern Downs,64,"['Southern-Downs-Environmental-Sustainability-StrategyFINAL', 'ESS-Action-Plan', 'Climate-Change-Adaptation-Action-Plan']"
Cannon Valley,QLD,Rural locality,Whitsunday,48,"['Climate Change Adaptation Policy', '11-ClimateAdaptationStrategy2016-2020', 'Climate Change Mitigation Strategy', 'Cilmate Change Mitigation Policy']"
Cannonvale,QLD,Urban locality,Whitsunday,48,"['Climate Change Adaptation Policy', '11-ClimateAdaptationStrategy2016-2020', 'Climate Change Mitigation Strategy', 'Cilmate Change Mitigation Policy']"
Cannum,VIC,Rural locality,Yarriambiack,143,"['priority-projects-framework', '12.1-annual-report']"
Canobolas,NSW,Rural locality,Cabonne,74,['Cabonne Recovery Plan']
Canoelands,NSW,Rural locality,Hornsby,658,"['Climate-Wise-Hornsby-Plan-Final', 'Sustainable-Hornsby-2040', 'Water-Sensitive-Hornsby-Strategy', 'HSC5704-Walking-and-Cycling-Strategy-v16', 'Final-Waste-Matters-Strategy-Report-Digital', 'Urban-Forest-Strategy', 'Biodiversity-Conservation-Strategy']"
Canonba,NSW,Rural locality,Bogan,161,['Bogan Shire Council Annual Report 2021-2022 NCCP']
Wee Jasper,NSW,Rural locality,Yass Valley,6,['climate-change-action-plan-1']
Shannon Vale,NSW,Rural locality,Glen Innes Severn,284,['annual-report-2021-2022-NCCP']
Canowindra,NSW,Urban locality,Cabonne,74,['Cabonne Recovery Plan']
Canteen Creek,NT,Urban locality,Barkly,93,['Regional plan 2023-2024 NCCP']
Canton Beach,NSW,Major Urban locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
Canunda,SA,Rural locality,Grant,72,['Health and Wellbeing Action Plan']
Canungra,QLD,Rural locality,Scenic Rim,71,"['CLIMATE-CHANGE-STATEMENT-OF-INTENT', 'Scenic-Rim-Biodiversity-Strategy', 'Community-Plan-2011-2016-CCS-Agenda-18-Sept-2018']"
Canyonleigh,NSW,Rural locality,Wingecarribee,60,"['Climate-Change-Adaptation-Plan-Summary', 'WSC-Urban-Tree-Policy-Adopted-23-May-2018', 'WSC-Environment-Policy-Adopted-Dec-2017', 'Wingecarribee-Environment-Strategy-2012-2017']"
Capalaba,QLD,Major Urban locality,Redland,254,"['Green-Living-Policy', 'Climate-Change-Risk-Assessment-Adaptation-Plan', 'Conservation-Land-Management-Strategy', 'Redland-Koala-Conservation-Strategy-2016']"
Caparra,NSW,Rural locality,Mid-Coast,201,"['Climate Change Policy 1', 'Climate Action Strategy Final Report -v8']"
Cape Arid,WA,Rural locality,Esperance,205,"['Climate change declaration', 'Green Infrastructure Guidelines', 'Esperance Coastal Adaptation Strategy']"
Cape Barren Island,TAS,Rural locality,Flinders,90,['2021-2022 FC Annual Report - NCCP']
Cape Bridgewater,VIC,Rural locality,Glenelg,110,['Environment Strategy 2010-2020']
Cape Burney,WA,Urban locality,Greater Geraldton,70,"['Council Policy 3.1 Climate Change', 'Council Policy 3.2 Coastal Adaptation Version 2-1', 'Achieving Net Zero Corporate Climate Change Mitigation Plan']"
Cape Clear,VIC,Rural locality,Golden Plains,124,"['Climate Emergency Plan 2022-2032', 'MHWAPlan-2021', 'GPS Council Plan 21-25']"
Cape Cleveland,QLD,Rural locality,Townsville,69,"['Environmental-Policy-1', 'Survey-Summary-Report', 'Townsville-2021-2026-Corporate-Plan']"
Cape Conran,VIC,Rural locality,East Gippsland,83,"['Environmental Sustainbility Strategy', 'Environmental Sustainability Action Plan - 2022-26']"
Sharps Creek,NSW,Rural locality,Snowy Valleys,126,"['2023-24-delivery-program-and-operational-plan', 'zero-waste-strategy-2019-2030-svc-eng-pln-015-01-adopted-24102019']"
Cape Douglas,SA,Rural locality,Grant,72,['Health and Wellbeing Action Plan']
Cape Gloucester,QLD,Rural locality,Whitsunday,48,"['Climate Change Adaptation Policy', '11-ClimateAdaptationStrategy2016-2020', 'Climate Change Mitigation Strategy', 'Cilmate Change Mitigation Policy']"
Cape Hillsborough,QLD,Rural locality,Mackay,55,"['Climate-Change-Policy-089', 'Environmental-Sustainability-Strategy-PartsA,BandC', 'Environmental-Sustainability-Strategy-PartD-Action-Plan']"
Cape Jaffa,SA,Rural locality,Kingston,340,"['climate-and-ecological-emergency-response-plan', 'kingston’s-integrated-water-strategy-nov-2022', 'kingstons-coastal-and-marine-management-plan-2023-v2', 'urban-cooling-strategy-final', 'public-health-and-wellbeing-plan-2021-2025', 'walking-and-cycling-plan', 'kingston-procurement-policy-local-government-act-2020-effective-31-december-2021']"
Cape Jervis,SA,Rural locality,Yankalilla,200,['Annual-Report-2022-FINAL-v.6']
Cape Le Grand,WA,Rural locality,Esperance,205,"['Climate change declaration', 'Green Infrastructure Guidelines', 'Esperance Coastal Adaptation Strategy']"
Cape Portland,TAS,Rural locality,Dorset,79,"['Dorset Municipal Emergency Management Plan - June 2021 Issue 8', '1 percent Climate Change AEP Flood Scenario Map']"
Cape Range National Park,WA,Rural locality,Exmouth,54,['Strategic Community Plan and Corporate Business Plan 2023-2033 ']
Cape Schanck,VIC,Rural locality,Mornington Peninsula,212,"['Climate Emergency Plan Ensuring Our Future Our Climate Emergency Response', 'CEP - Progress report 2022 - Final', 'Climate Emergency Advocacy Report 2022-23']"
Wellingrove,NSW,Rural locality,Inverell,12,['ISC Environmental Sustainability Plan']
Capeen Creek,NSW,Rural locality,Kyogle,43,['Sustainable Councils Communities Action Plan_Kyogle Council Adopted-June-2019']
Wendoree Park,NSW,Rural locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
Capella,QLD,Urban locality,Central Highlands,93,['Annual-Report-2021-2022-NCCP']
Capels Crossing,VIC,Rural locality,Gannawarra,49,"['Climate Change Policy - 146', 'Climate Change Strategy']"
Capoompeta,NSW,Rural locality,Glen Innes Severn,284,['annual-report-2021-2022-NCCP']
Capricorn,WA,Rural locality,Meekatharra,245,['Policy Manual 2023 NCCP']
Captain Creek,QLD,Rural locality,Gladstone,41,"['Council tackles climate change at local level Media Release', 'Biodiversity Conservation Strategic Plan 2016-2025', 'Environment Policy']"
Captains Flat,NSW,Rural locality,Queanbeyan-Palerang Regional,414,"['QPRC-Community-Climate-Change-Action-Plan-updated-20-October-2021', 'Council-Operations-Climate-Change-Action-Plan-updated-20-October-2021', 'QPRC-Urban-Forest-Cooling-Strategy-Final', 'Public-Electric-Vehicle-Charging-Plan-2030', 'Qbyn-River-Riparian-Corridor-and-Platypus-Awareness-and-Conservation-Strategy']"
Captains Mountain,QLD,Rural locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
West Bungawalbin,NSW,Rural locality,Richmond Valley,27,['Sustainable Communities Strategy 2023-2028']
Wetuppa,NSW,Rural locality,Murray River,4,['How Adapting to a Changing Climate Builds Social Capital']
Caragabal,NSW,Rural locality,Weddin,106,['Annual Report 2022 - NCCP']
Caralue,SA,Rural locality,Kimba,44,['Climate Change Policy 2.28']
Caralulup,VIC,Rural locality,Central Goldfields,111,"['Central Goldfields Climate Action Plan 2022-2030', 'Climate Conversation Report Oct 2022', 'CGSC Climate Action Plan Report v B.0', 'Central Goldfields Shire Climate Action Plans Summary Factsheet']"
Caramut,VIC,Rural locality,Moyne,86,"['Procurement Policy Adopted 7-December-2021', 'Environmental Sustainability Strategy']"
Warrell Creek,NSW,Rural locality,Nambucca,3,['Policy de14 - climate - change -10100-2018']
Whiporie,NSW,Rural locality,Richmond Valley,27,['Sustainable Communities Strategy 2023-2028']
Carapook,VIC,Rural locality,Glenelg,110,['Environment Strategy 2010-2020']
Caravonica,QLD,Major Urban locality,Cairns,6,"['v4-Corporate-Sustainability-General-Policy', 'Youth Climate Summit 2019-Outcomes']"
Carawa,SA,Rural locality,Ceduna,264,"['Council Meeting Agenda & The Eyre Peninsula Strategic Regional Plan 2023-2026', 'Western Eyre Peninsula Regional Public Health Plan Final']"
Carbine Creek,QLD,Rural locality,Central Highlands,93,['Annual-Report-2021-2022-NCCP']
Carboor,VIC,Rural locality,Wangaratta,61,"['Climate-Mitigation-Adaptation-Policy', 'Urban-Tree-Plan', 'Environmental-Sustainability-Strategy-2021-26']"
Carbunup River,WA,Rural locality,Busselton,91,"['energy-strategy-2020-2025', 'sustainable-house-brochure', 'climate-change-Policy', 'Environment- Policy']"
Carcalgong,NSW,Rural locality,Mid-Western Regional,92,['2022 Annual Report - NCCP']
Whittingham,NSW,Rural locality,Singleton,8,['Singleton Sustainability Strategy 2019 - 2027']
Widden,NSW,Rural locality,Muswellbrook,5,['Environmental Sustainability Policy - S32-1']
Cardiff,WA,Rural locality,Collie,73,['Annual Report 2021-22 NCCP']
Cardigan,VIC,Rural locality,Ballarat,71,"['Carbon-Neutrality-&-100pc-Renewables-Action-Plan', 'City of Ballarat Net Zero Emissions Plan', 'City of Ballarat Biodiversity Vision and Commitment']"
Cardigan Village,VIC,Urban locality,Ballarat,71,"['Carbon-Neutrality-&-100pc-Renewables-Action-Plan', 'City of Ballarat Net Zero Emissions Plan', 'City of Ballarat Biodiversity Vision and Commitment']"
Cardinia,VIC,Rural locality,Cardinia,436,"['Sustainable-Environment-Policy-2018-28', 'Biodiversity-Conservation-Strategy-2019-29', 'Climate-Change-Adaptation-Strategy-2022-2023', 'Cardinia-Shire-Biolink-Plan-2023-33', 'Aspirational-Energy-Transition-Plan-2014-24', 'Council-Enhanced-Standard-Sustainable-Buildings-2020-to-2026', 'Waste-and-Resource-Recovery-Strategy-2017-2026', 'Integrated-Water-Management-Plan', 'Climate-Change-Adaptation-Strategy-Action-plan']"
Cardross,VIC,Rural locality,Mildura,163,"['Draft-Community-Climate-Response-Plan-2023-2028', 'Annual-Environmental-Sustainability-Report-2021-2022', 'Electric-Vehicle-Charging-Infrastructure-Policy-CP053', 'Environmental-Sustainability-and-Climate-Change-Policy', 'Water-Management-Policy-CP024', 'Towards-Zero-Emissions-Strategy-2021-2050', 'Community-Health-and-Wellbeing-Plan-2021-2025-Final']"
Cardstone,QLD,Rural locality,Cassowary Coast,90,"['Reef Guardian Cassowary Coast Regional Council Action Plan 2023', 'Liveable Cassowary Coast Regional Council Community Plan Lifestyle and Wellbeing Profile Report', 'Liveable Cassowary Coast Plan 2020 Action Plans']"
South Kempsey,NSW,Urban locality,Kempsey,21,['Kempsey Sustainability Resilience Strategy-2022']
Lower Southgate,NSW,Rural locality,Clarence Valley,193,"['Climate Change Policy V4', '100 Renewables Report', 'Clarence Valley Community Energy and Emissions Reduction Strategy July 2021']"
Carew,SA,Rural locality,Tatiara,146,['Final-Tatiara-Coorong-LAP-080312-2']
Carey Gully,SA,Rural locality,Adelaide Hills,312,"['Biodiversity-Strategy-2019-24', 'Water-Management-Plan-2017', 'LED-lights-Infographic', 'Corporate-Carbon-Management-Plan-2019', 'Waste-and-Resources-Management-Strategy-2017', 'Resource-Recovery-and-Recycling-2019', 'COUNCIL-MEDIA-190329-Adelaide-Hills-Council-declares-Climate-Emergency', 'Climate-Change-Adaptation-Plan']"
Cargerie,VIC,Rural locality,Moorabool,61,['Sustainable-Environment-Strategy-2016-26']
Cargo,NSW,Rural locality,Cabonne,74,['Cabonne Recovery Plan']
Carina,VIC,Rural locality,Mildura,163,"['Draft-Community-Climate-Response-Plan-2023-2028', 'Annual-Environmental-Sustainability-Report-2021-2022', 'Electric-Vehicle-Charging-Infrastructure-Policy-CP053', 'Environmental-Sustainability-and-Climate-Change-Policy', 'Water-Management-Policy-CP024', 'Towards-Zero-Emissions-Strategy-2021-2050', 'Community-Health-and-Wellbeing-Plan-2021-2025-Final']"
Carinda,NSW,Rural locality,Coonamble,330,['2021-2022 Annual Report NCCP']
Caringal,VIC,Rural locality,Baw Baw,82,"['Council Plan 2021-2025 Annual review 2023-2024', 'Environmental Sustainability Strategy 2022-2030', 'Building Resistance Guide BBSC']"
Carisbrook,VIC,Urban locality,Central Goldfields,111,"['Central Goldfields Climate Action Plan 2022-2030', 'Climate Conversation Report Oct 2022', 'CGSC Climate Action Plan Report v B.0', 'Central Goldfields Shire Climate Action Plans Summary Factsheet']"
Carlaminda,NSW,Rural locality,Snowy Monaro Regional,104,['annual-report-2021-2022NCCP']
Carlotta,WA,Rural locality,Nannup,70,['Annual Report 2021-22 NCCP']
